Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Product_Category,Product_Name,Sales_Channel,Quantity,Unit_Price,Discount_Rate,Revenue,Cost,Profit,Payment_Method,Customer_Rating,Is_Returned,Sales_Rep,Delivery_Days,Campaign_Source,Notes
ORD-100012,2025-09-01,CUST-1052,Corporate,East,Office Supplies,Ergonomic Notebook,Partner,9,18.66,0.15,142.77,97.89,44.88,Mobile Wallet,3.9,False,H. Navarro,4,Trade Show,Follow-up required
ORD-100013,2025-08-20,CUST-1059,Corporate,South,Technology,Business Tablet,Online,4,646.16,0.0,2584.64,1806.26,778.38,Credit Card,,False,A. Cruz,10,Search,Follow-up required
ORD-100014,2025-02-04,CUST-1139,Consumer,Central,Technology,Wireless Headset,Partner,2,143.39,0.15,243.76,171.81,71.95,Bank Transfer,3.2,False,H. Navarro,8,Referral,
ORD-100015,2025-04-08,CUST-1014,Corporate,North,Technology,Laptop Pro 14,Online,11,1311.14,0.1,12980.24,8104.41,4875.83,Purchase Order,4.7,False,F. Tan,7,Email,Priority client
ORD-100016,2025-05-08,CUST-1119,Consumer,North,Office Supplies,Ink Cartridge Pack,Partner,9,118.38,0.1,958.9,601.27,357.64,Credit Card,4.2,False,A. Cruz,3,Direct,
ORD-100017,2025-10-04,CUST-1103,Consumer,South,Technology,Laptop Pro 14,Partner,4,1180.85,0.0,4723.4,3108.37,1615.03,Credit Card,3.0,False,G. Ramos,8,Social,
ORD-100018,2025-08-21,CUST-1125,Consumer,South,Furniture,Meeting Table,Corporate Sales,12,851.53,0.2,8174.71,5441.26,2733.45,Bank Transfer,3.6,False,A. Cruz,9,Trade Show,New account
ORD-100019,2025-10-05,CUST-1136,Consumer,North,Technology,Wireless Headset,Online,1,142.47,0.0,142.47,101.19,41.28,Bank Transfer,4.3,False,B. Santos,9,Trade Show,
ORD-100020,2025-02-04,CUST-1159,Consumer,West,Office Supplies,Printer Toner,Corporate Sales,2,154.62,0.15,262.85,214.71,48.14,Mobile Wallet,3.8,False,D. Lim,10,Direct,
ORD-100021,2025-06-10,CUST-1081,Consumer,North,Office Supplies,Ergonomic Notebook,Partner,7,18.98,0.0,132.86,83.4,49.47,Credit Card,4.9,False,B. Santos,5,Trade Show,Priority client
ORD-100022,2025-04-20,CUST-1041,Small Business,Central,Furniture,Standing Desk,Corporate Sales,6,663.13,0.0,3978.75,2378.38,1600.37,Credit Card,4.8,False,E. Garcia,6,Direct,
ORD-100023,2025-02-23,CUST-1073,Corporate,South,Office Supplies,Ergonomic Notebook,Corporate Sales,2,17.49,0.0,34.98,21.26,13.72,Bank Transfer,4.3,False,E. Garcia,3,Trade Show,
ORD-100024,2025-09-08,CUST-1001,Small Business,South,Furniture,Executive Chair,Corporate Sales,2,472.46,0.2,755.94,449.98,305.96,Bank Transfer,4.8,False,H. Navarro,5,Trade Show,
ORD-100025,2025-12-28,CUST-1010,Small Business,Central,Services,Data Migration,Retail Store,1,914.09,0.0,914.09,601.51,312.58,Purchase Order,4.7,False,C. Reyes,3,Email,Follow-up required
ORD-100026,2025-06-07,CUST-1144,Small Business,Central,Furniture,Executive Chair,Retail Store,6,526.87,0.0,3161.22,2191.77,969.45,Bank Transfer,5.0,False,C. Reyes,2,Search,
ORD-100027,2025-07-31,CUST-1064,Small Business,South,Technology,Business Tablet,Online,12,645.82,0.05,7362.34,5530.43,1831.91,Purchase Order,4.4,False,A. Cruz,7,Referral,
ORD-100028,2025-04-24,CUST-1007,Corporate,South,Office Supplies,Printer Toner,Partner,6,178.16,0.05,1015.5,709.34,306.16,Mobile Wallet,5.0,False,E. Garcia,4,Email,
ORD-100029,2025-05-23,CUST-1008,Consumer,East,Furniture,Storage Shelf,Retail Store,7,300.36,0.2,1682.01,1148.16,533.85,Mobile Wallet,4.2,False,A. Cruz,9,Email,
ORD-100030,2025-11-02,CUST-1099,Corporate,South,Services,Training Package,Corporate Sales,12,433.29,0.05,4939.53,3467.83,1471.7,Credit Card,3.9,False,G. Ramos,9,Email,
ORD-100031,2025-09-24,CUST-1081,Corporate,North,Office Supplies,Ergonomic Notebook,Corporate Sales,7,19.47,0.0,136.27,87.19,49.08,Mobile Wallet,5.0,False,G. Ramos,6,Social,
ORD-100032,2025-07-26,CUST-1045,Corporate,Central,Furniture,Storage Shelf,Corporate Sales,3,282.78,0.0,848.35,507.71,340.63,Purchase Order,3.7,False,A. Cruz,7,Social,New account
ORD-100033,2025-05-27,CUST-1114,Corporate,South,Office Supplies,Printer Toner,Partner,10,161.89,0.15,1376.1,851.38,524.71,Bank Transfer,4.8,False,B. Santos,8,Social,Priority client
ORD-100034,2025-09-21,CUST-1007,Consumer,South,Furniture,Executive Chair,Partner,4,518.7,0.2,1659.84,1037.03,622.81,Credit Card,4.3,False,H. Navarro,4,Referral,
ORD-100035,2025-11-19,CUST-1028,Small Business,South,Office Supplies,Printer Toner,Retail Store,8,182.27,0.1,1312.33,931.02,381.31,Purchase Order,3.6,False,A. Cruz,1,Trade Show,
ORD-100036,2025-05-08,CUST-1082,Small Business,Central,Technology,4K Monitor,Partner,3,434.02,0.1,1171.87,799.81,372.06,Purchase Order,3.9,False,C. Reyes,9,Direct,Follow-up required
ORD-100037,2025-09-01,CUST-1062,Small Business,West,Services,Training Package,Online,4,478.62,0.2,1531.59,1204.71,326.88,Mobile Wallet,4.1,False,D. Lim,9,Social,Priority client
ORD-100038,2025-06-21,CUST-1040,Corporate,South,Furniture,Storage Shelf,Online,2,294.06,0.0,588.12,372.46,215.66,Purchase Order,3.9,False,G. Ramos,7,Social,New account
ORD-100039,2025-10-05,CUST-1150,Corporate,North,Services,Support Contract,Partner,1,1108.77,0.0,1108.77,732.93,375.84,Purchase Order,4.0,False,A. Cruz,7,Social,
ORD-100040,2025-06-02,CUST-1125,Consumer,East,Services,Support Contract,Partner,9,1204.51,0.2,8672.47,6493.29,2179.18,Purchase Order,4.4,False,A. Cruz,10,Referral,
ORD-100041,2025-06-22,CUST-1101,Corporate,Central,Services,Installation Service,Online,8,243.18,0.0,1945.45,1582.1,363.36,Credit Card,2.7,False,G. Ramos,9,Search,
ORD-100042,2025-08-25,CUST-1087,Small Business,East,Office Supplies,Premium Paper,Partner,5,37.32,0.1,167.95,98.9,69.05,Mobile Wallet,4.1,False,B. Santos,8,Referral,
ORD-100043,2025-01-10,CUST-1052,Consumer,Central,Technology,Wireless Headset,Retail Store,4,152.27,0.2,487.25,341.39,145.86,Bank Transfer,4.0,True,C. Reyes,2,Referral,
ORD-100044,2025-12-09,CUST-1156,Corporate,North,Technology,Cloud Security Suite,Retail Store,4,835.15,0.1,3006.55,2096.97,909.57,Mobile Wallet,4.3,False,B. Santos,6,Trade Show,
ORD-100045,2025-01-14,CUST-1152,Corporate,South,Furniture,Storage Shelf,Online,11,328.04,0.1,3247.61,2072.28,1175.33,Mobile Wallet,5.0,False,B. Santos,4,Trade Show,
ORD-100046,2025-01-22,CUST-1088,Consumer,West,Furniture,Storage Shelf,Partner,7,283.31,0.2,1586.54,1197.48,389.06,Credit Card,4.7,False,G. Ramos,9,Social,New account
ORD-100047,2025-11-22,CUST-1138,Small Business,West,Services,Installation Service,Partner,7,243.39,0.0,1703.72,1246.71,457.02,Mobile Wallet,4.5,False,F. Tan,5,Search,Follow-up required
ORD-100048,2025-02-14,CUST-1008,Small Business,East,Furniture,Meeting Table,Retail Store,4,733.53,0.1,2640.7,2061.0,579.71,Purchase Order,5.0,False,D. Lim,7,Social,
ORD-100049,2025-05-13,CUST-1133,Consumer,North,Furniture,Filing Cabinet,Retail Store,10,211.15,0.2,1689.2,1055.35,633.85,Purchase Order,4.2,False,H. Navarro,9,Trade Show,
ORD-100050,2025-05-04,CUST-1063,Small Business,Central,Services,Support Contract,Corporate Sales,8,1242.62,0.0,9940.92,5805.31,4135.61,Purchase Order,3.7,False,F. Tan,4,Referral,Priority client
ORD-100051,2025-10-09,CUST-1031,Corporate,South,Furniture,Filing Cabinet,Corporate Sales,12,219.53,0.1,2370.92,1504.01,866.91,Credit Card,3.3,False,C. Reyes,5,Search,
ORD-100052,2025-04-21,CUST-1073,Consumer,South,Services,Training Package,Corporate Sales,12,467.18,0.15,4765.28,3206.16,1559.12,Bank Transfer,4.5,False,F. Tan,9,Search,Follow-up required
ORD-100053,2025-06-04,CUST-1033,Corporate,West,Technology,Cloud Security Suite,Online,3,977.52,0.05,2785.94,1707.8,1078.15,Credit Card,3.5,True,E. Garcia,4,Referral,New account
ORD-100054,2025-09-03,CUST-1017,Small Business,West,Services,Training Package,Online,3,488.22,0.0,1464.67,1157.91,306.76,Credit Card,3.9,False,C. Reyes,8,Search,
ORD-100055,2025-10-16,CUST-1153,Corporate,South,Furniture,Executive Chair,Partner,4,465.33,0.0,1861.31,1374.38,486.92,Purchase Order,4.3,False,H. Navarro,7,Social,Follow-up required
ORD-100056,2025-10-29,CUST-1055,Small Business,North,Services,Training Package,Retail Store,10,452.67,0.15,3847.68,2454.99,1392.69,Bank Transfer,5.0,True,C. Reyes,4,Trade Show,New account
ORD-100057,2025-02-08,CUST-1009,Consumer,East,Office Supplies,Premium Paper,Corporate Sales,7,35.83,0.1,225.71,179.51,46.19,Purchase Order,4.3,False,B. Santos,8,Direct,
ORD-100058,2025-04-30,CUST-1039,Small Business,South,Furniture,Storage Shelf,Online,11,289.37,0.0,3183.11,2112.98,1070.13,Credit Card,4.7,False,C. Reyes,9,Social,
ORD-100059,2025-11-01,CUST-1129,Corporate,West,Furniture,Meeting Table,Partner,2,835.11,0.1,1503.19,1195.5,307.69,Credit Card,4.3,False,A. Cruz,7,Referral,
ORD-100060,2025-06-15,CUST-1006,Corporate,East,Furniture,Executive Chair,Online,2,502.89,0.0,1005.78,603.66,402.12,Bank Transfer,4.4,False,H. Navarro,10,Trade Show,
ORD-100061,2025-11-30,CUST-1121,Small Business,West,Services,Training Package,Corporate Sales,3,419.55,0.15,1069.84,851.22,218.62,Mobile Wallet,4.3,False,B. Santos,8,Search,
ORD-100062,2025-06-18,CUST-1117,Consumer,East,Services,Support Contract,Corporate Sales,5,1081.21,0.2,4324.86,2675.33,1649.53,Mobile Wallet,3.6,False,B. Santos,9,Referral,
ORD-100063,2025-09-21,CUST-1128,Corporate,West,Technology,Cloud Security Suite,Online,8,907.76,0.1,6535.89,4876.13,1659.76,Bank Transfer,3.2,True,E. Garcia,12,Trade Show,Follow-up required
ORD-100064,2025-03-09,CUST-1062,Corporate,South,Furniture,Meeting Table,Corporate Sales,12,832.91,0.1,8995.39,5729.52,3265.87,Credit Card,4.6,False,G. Ramos,10,Email,
ORD-100065,2025-04-26,CUST-1075,Corporate,East,Technology,4K Monitor,Partner,2,442.97,0.2,708.75,538.06,170.7,Purchase Order,4.8,False,H. Navarro,8,Search,New account
ORD-100066,2025-08-22,CUST-1018,Small Business,West,Office Supplies,Printer Toner,Corporate Sales,4,174.33,0.15,592.71,424.62,168.1,Mobile Wallet,4.4,False,A. Cruz,3,Social,
ORD-100067,2025-06-02,CUST-1140,Small Business,West,Services,Installation Service,Corporate Sales,8,229.68,0.15,1561.85,1043.71,518.14,Bank Transfer,3.4,False,D. Lim,6,Trade Show,Follow-up required
ORD-100068,2025-07-16,CUST-1039,Small Business,North,Office Supplies,Printer Toner,Retail Store,1,184.99,0.05,175.74,118.51,57.23,Mobile Wallet,3.5,False,B. Santos,7,Referral,Priority client
ORD-100069,2025-02-21,CUST-1121,Small Business,East,Services,Consulting Hours,Partner,12,194.11,0.0,2329.36,1703.87,625.5,Credit Card,4.1,False,F. Tan,3,Direct,
ORD-100070,2025-10-01,CUST-1139,Consumer,Central,Services,Training Package,Online,11,456.92,0.2,4020.91,2807.41,1213.49,Bank Transfer,5.0,False,E. Garcia,8,Search,
ORD-100071,2025-02-16,CUST-1077,Consumer,North,Services,Consulting Hours,Corporate Sales,11,169.03,0.2,1487.45,1120.63,366.82,Credit Card,3.3,False,E. Garcia,8,Social,
ORD-100072,2025-07-11,CUST-1045,Consumer,Central,Services,Installation Service,Partner,4,272.02,0.15,924.88,748.17,176.7,Bank Transfer,4.5,False,H. Navarro,3,Trade Show,
ORD-100073,2025-03-15,CUST-1120,Small Business,Central,Office Supplies,Printer Toner,Retail Store,11,183.02,0.05,1912.58,1279.21,633.38,Credit Card,4.5,False,H. Navarro,1,Social,
ORD-100074,2025-10-28,CUST-1099,Small Business,North,Furniture,Meeting Table,Retail Store,12,873.09,0.05,9953.19,7810.49,2142.7,Purchase Order,4.0,False,F. Tan,5,Trade Show,
ORD-100075,2025-06-01,CUST-1013,Corporate,West,Furniture,Executive Chair,Corporate Sales,11,468.9,0.1,4642.08,3121.44,1520.64,Bank Transfer,3.8,False,F. Tan,10,Search,
ORD-100076,2025-11-22,CUST-1025,Corporate,North,Office Supplies,Desk Organizer,Corporate Sales,5,27.08,0.2,108.33,77.31,31.02,Purchase Order,4.7,False,A. Cruz,3,Trade Show,New account
ORD-100077,2025-07-06,CUST-1034,Corporate,East,Office Supplies,Premium Paper,Corporate Sales,5,42.4,0.05,201.41,150.46,50.95,Bank Transfer,3.4,False,E. Garcia,3,Referral,
ORD-100078,2025-06-01,CUST-1102,Corporate,East,Furniture,Executive Chair,Online,8,500.25,0.0,4001.98,3272.07,729.91,Purchase Order,,False,A. Cruz,4,Social,
ORD-100079,2025-10-02,CUST-1098,Corporate,East,Technology,4K Monitor,Online,6,425.96,0.2,2044.61,1440.22,604.39,Bank Transfer,4.4,False,H. Navarro,5,Email,Follow-up required
ORD-100080,2025-11-14,CUST-1105,Consumer,South,Furniture,Storage Shelf,Online,4,310.78,0.2,994.5,744.48,250.02,Credit Card,,True,E. Garcia,11,Referral,New account
ORD-100081,2025-03-01,CUST-1139,Small Business,Central,Technology,Business Tablet,Retail Store,9,679.36,0.0,6114.21,3977.06,2137.15,Purchase Order,4.5,False,B. Santos,6,Referral,New account
ORD-100082,2025-11-12,CUST-1061,Small Business,North,Services,Training Package,Corporate Sales,1,483.04,0.2,386.43,308.83,77.6,Mobile Wallet,4.5,False,A. Cruz,8,Referral,Priority client
ORD-100083,2025-05-22,CUST-1013,Small Business,South,Office Supplies,Premium Paper,Retail Store,8,39.09,0.0,312.71,219.01,93.7,Bank Transfer,4.5,False,B. Santos,10,Trade Show,
ORD-100084,2025-04-17,CUST-1071,Consumer,South,Office Supplies,Ink Cartridge Pack,Corporate Sales,6,134.21,0.0,805.26,620.85,184.41,Bank Transfer,5.0,False,B. Santos,10,Direct,
ORD-100085,2025-01-14,CUST-1068,Consumer,South,Office Supplies,Premium Paper,Partner,6,42.04,0.0,252.25,166.77,85.48,Credit Card,3.5,False,B. Santos,1,Referral,
ORD-100086,2025-08-18,CUST-1012,Corporate,Central,Furniture,Storage Shelf,Corporate Sales,10,303.68,0.0,3036.81,1787.55,1249.26,Purchase Order,3.9,False,A. Cruz,4,Email,
ORD-100087,2025-09-03,CUST-1021,Small Business,Central,Services,Support Contract,Retail Store,11,1191.74,0.0,13109.18,9310.59,3798.58,Credit Card,4.6,False,C. Reyes,8,Social,
ORD-100088,2025-11-16,CUST-1111,Consumer,North,Furniture,Meeting Table,Retail Store,10,723.97,0.15,6153.78,3624.35,2529.43,Purchase Order,2.9,False,H. Navarro,9,Search,Follow-up required
ORD-100089,2025-07-31,CUST-1081,Corporate,East,Furniture,Meeting Table,Corporate Sales,7,850.55,0.1,5358.47,3571.13,1787.34,Bank Transfer,4.1,False,H. Navarro,6,Email,Priority client
ORD-100090,2025-02-16,CUST-1034,Corporate,North,Technology,Laptop Pro 14,Corporate Sales,7,1369.14,0.0,9584.01,6055.15,3528.86,Credit Card,3.3,False,G. Ramos,6,Social,
ORD-100091,2025-12-07,CUST-1130,Consumer,South,Services,Consulting Hours,Partner,5,184.42,0.15,783.8,470.66,313.14,Bank Transfer,4.1,False,B. Santos,2,Social,Follow-up required
ORD-100092,2025-10-12,CUST-1144,Corporate,Central,Furniture,Executive Chair,Online,5,492.97,0.15,2095.14,1535.7,559.44,Mobile Wallet,3.6,False,A. Cruz,7,Search,
ORD-100093,2025-05-20,CUST-1103,Consumer,South,Furniture,Filing Cabinet,Online,6,228.9,0.0,1373.42,1118.24,255.17,Credit Card,2.6,False,D. Lim,3,Referral,Follow-up required
ORD-100094,2025-08-03,CUST-1146,Corporate,North,Services,Training Package,Online,3,476.57,0.05,1358.22,876.05,482.17,Bank Transfer,4.2,False,C. Reyes,6,Trade Show,
ORD-100095,2025-01-26,CUST-1107,Small Business,South,Technology,Wireless Headset,Online,8,147.18,0.2,941.96,564.07,377.89,Mobile Wallet,4.5,False,G. Ramos,10,Email,Priority client
ORD-100096,2025-05-26,CUST-1053,Small Business,South,Services,Data Migration,Retail Store,11,932.7,0.05,9746.73,6058.47,3688.25,Mobile Wallet,4.7,True,E. Garcia,8,Social,
ORD-100097,2025-03-03,CUST-1059,Corporate,Central,Technology,4K Monitor,Corporate Sales,12,427.46,0.1,4616.58,2954.88,1661.7,Credit Card,5.0,False,G. Ramos,7,,Follow-up required
ORD-100098,2025-01-22,CUST-1147,Small Business,West,Services,Consulting Hours,Corporate Sales,8,185.77,0.0,1486.14,961.8,524.33,Credit Card,4.4,False,G. Ramos,10,Email,Priority client
ORD-100099,2025-06-16,CUST-1028,Consumer,West,Office Supplies,Desk Organizer,Partner,8,31.64,0.2,202.48,153.3,49.18,Credit Card,5.0,False,G. Ramos,2,Social,Priority client
ORD-100100,2025-06-23,CUST-1131,Consumer,East,Office Supplies,Ergonomic Notebook,Corporate Sales,3,17.71,0.0,53.13,33.98,19.16,Bank Transfer,4.9,False,D. Lim,2,Email,Follow-up required
ORD-100101,2025-03-16,CUST-1127,Small Business,Central,Furniture,Standing Desk,Partner,3,610.88,0.15,1557.75,1186.82,370.93,Mobile Wallet,4.4,False,F. Tan,2,Search,
ORD-100102,2025-08-14,CUST-1015,Small Business,Central,Technology,4K Monitor,Online,8,456.63,0.2,2922.43,1763.63,1158.8,Mobile Wallet,4.7,False,H. Navarro,5,Referral,Follow-up required
ORD-100103,2025-01-20,CUST-1153,Corporate,West,Technology,Wireless Headset,Partner,5,148.75,0.0,743.75,515.89,227.86,Credit Card,3.9,False,H. Navarro,2,Trade Show,
ORD-100104,2025-11-30,CUST-1027,Small Business,North,Office Supplies,Ergonomic Notebook,Retail Store,10,17.63,0.1,158.71,115.51,43.2,Credit Card,3.2,False,D. Lim,1,Direct,Priority client
ORD-100105,2025-08-13,CUST-1100,Small Business,East,Services,Data Migration,Online,9,975.67,0.15,7463.86,4410.19,3053.67,Mobile Wallet,5.0,False,B. Santos,6,Social,
ORD-100106,2025-02-18,CUST-1039,Small Business,North,Services,Training Package,Retail Store,5,450.28,0.2,1801.13,1414.89,386.24,Mobile Wallet,3.0,False,E. Garcia,10,Direct,
ORD-100107,2025-12-24,CUST-1097,Corporate,East,Services,Installation Service,Retail Store,10,257.93,0.2,2063.48,1277.51,785.97,Credit Card,4.2,False,G. Ramos,5,Trade Show,Follow-up required
ORD-100108,2025-07-05,CUST-1125,Consumer,South,Technology,Wireless Headset,Retail Store,5,134.89,0.0,674.45,486.0,188.45,Bank Transfer,3.6,False,B. Santos,6,Social,
ORD-100109,2025-02-21,CUST-1047,Corporate,Central,Technology,Wireless Headset,Retail Store,10,162.12,0.0,1621.19,1164.2,456.99,Purchase Order,5.0,False,A. Cruz,3,Referral,
ORD-100110,2025-07-06,CUST-1137,Consumer,East,Office Supplies,Printer Toner,Partner,10,167.59,0.05,1592.1,1131.9,460.2,Bank Transfer,3.2,False,F. Tan,8,Direct,
ORD-100111,2025-10-20,CUST-1052,Corporate,South,Services,Support Contract,Corporate Sales,5,1305.95,0.1,5876.78,3953.1,1923.68,Credit Card,4.3,False,H. Navarro,7,Social,
ORD-100112,2025-10-11,CUST-1116,Corporate,South,Technology,Cloud Security Suite,Partner,2,821.9,0.05,1561.61,1025.28,536.33,Credit Card,3.6,False,D. Lim,3,Referral,
ORD-100113,2025-06-28,CUST-1021,Small Business,South,Technology,4K Monitor,Online,1,490.66,0.1,441.59,258.59,183.0,Mobile Wallet,3.7,False,B. Santos,4,Direct,Priority client
ORD-100114,2025-11-29,CUST-1036,Corporate,West,Furniture,Standing Desk,Partner,3,580.97,0.0,1742.9,1302.32,440.57,Credit Card,4.7,False,B. Santos,8,Email,New account
ORD-100115,2025-05-12,CUST-1074,Consumer,East,Office Supplies,Ink Cartridge Pack,Online,9,132.33,0.2,952.75,753.24,199.51,Credit Card,4.7,False,D. Lim,7,Referral,
ORD-100116,2025-11-24,CUST-1132,Corporate,South,Services,Consulting Hours,Retail Store,2,172.15,0.1,309.88,192.92,116.95,Mobile Wallet,4.6,False,G. Ramos,1,Email,New account
ORD-100117,2025-11-11,CUST-1093,Consumer,Central,Furniture,Standing Desk,Online,10,660.53,0.1,5944.75,4599.1,1345.65,Purchase Order,4.1,False,H. Navarro,2,Email,Follow-up required
ORD-100118,2025-11-22,CUST-1027,Corporate,East,Services,Training Package,Retail Store,5,438.48,0.2,1753.93,1344.1,409.82,Credit Card,4.2,True,F. Tan,5,Trade Show,
ORD-100119,2025-06-23,CUST-1118,Consumer,East,Office Supplies,Printer Toner,Retail Store,12,163.62,0.1,1767.09,1419.65,347.44,Credit Card,,False,D. Lim,3,Email,
ORD-100120,2025-06-11,CUST-1049,Small Business,East,Furniture,Storage Shelf,Online,7,314.0,0.15,1868.31,1421.95,446.36,Mobile Wallet,4.9,False,E. Garcia,1,Email,
ORD-100121,2025-07-08,CUST-1048,Small Business,West,Services,Support Contract,Corporate Sales,12,1104.75,0.1,11931.3,9504.62,2426.67,Mobile Wallet,5.0,False,B. Santos,7,Direct,
ORD-100122,2025-08-06,CUST-1021,Small Business,East,Technology,4K Monitor,Corporate Sales,10,442.48,0.0,4424.81,3517.39,907.41,Purchase Order,4.1,False,G. Ramos,6,Search,
ORD-100123,2025-12-20,CUST-1112,Small Business,North,Services,Training Package,Online,8,440.03,0.0,3520.23,2050.89,1469.34,Purchase Order,4.3,False,F. Tan,6,Trade Show,Follow-up required
ORD-100124,2025-12-14,CUST-1033,Consumer,South,Office Supplies,Premium Paper,Corporate Sales,3,42.51,0.15,108.41,77.8,30.61,Mobile Wallet,4.0,False,G. Ramos,8,Trade Show,
ORD-100125,2025-01-17,CUST-1036,Corporate,East,Office Supplies,Printer Toner,Partner,6,173.46,0.05,988.7,679.86,308.84,Mobile Wallet,3.3,False,E. Garcia,2,Search,Follow-up required
ORD-100126,2025-02-28,CUST-1068,Small Business,West,Technology,Business Tablet,Retail Store,8,723.12,0.15,4917.2,3739.88,1177.33,Mobile Wallet,3.2,False,H. Navarro,9,Search,
ORD-100127,2025-03-04,CUST-1082,Corporate,East,Office Supplies,Premium Paper,Online,8,41.27,0.0,330.19,254.09,76.11,Mobile Wallet,4.1,False,E. Garcia,8,Search,
ORD-100128,2025-12-31,CUST-1036,Consumer,West,Office Supplies,Ergonomic Notebook,Online,9,16.41,0.0,147.66,105.12,42.54,Mobile Wallet,3.4,False,F. Tan,4,Referral,
ORD-100129,2025-10-10,CUST-1106,Small Business,Central,Office Supplies,Desk Organizer,Online,2,28.66,0.0,57.32,45.46,11.86,Bank Transfer,3.5,False,F. Tan,8,Direct,Follow-up required
ORD-100130,2025-02-07,CUST-1151,Consumer,South,Services,Support Contract,Partner,11,1114.32,0.15,10418.87,7947.13,2471.75,Credit Card,3.9,False,B. Santos,9,Trade Show,New account
ORD-100131,2025-03-20,CUST-1133,Small Business,North,Furniture,Standing Desk,Corporate Sales,3,643.87,0.05,1835.03,1108.86,726.18,Bank Transfer,4.3,False,E. Garcia,4,Search,
ORD-100132,2025-11-17,CUST-1149,Consumer,South,Furniture,Storage Shelf,Corporate Sales,9,273.45,0.0,2461.06,1912.85,548.21,Credit Card,3.7,False,A. Cruz,3,Email,Follow-up required
ORD-100133,2025-01-24,CUST-1140,Small Business,East,Furniture,Standing Desk,Partner,10,654.95,0.1,5894.51,3533.9,2360.61,Bank Transfer,3.0,False,G. Ramos,1,Social,Priority client
ORD-100134,2025-08-21,CUST-1088,Corporate,South,Technology,Laptop Pro 14,Corporate Sales,3,1380.27,0.1,3726.72,3008.73,717.99,Mobile Wallet,3.0,False,F. Tan,8,Referral,
ORD-100135,2025-03-08,CUST-1069,Small Business,South,Furniture,Storage Shelf,Retail Store,9,328.06,0.0,2952.57,2246.34,706.22,Credit Card,3.6,False,A. Cruz,8,Social,
ORD-100136,2025-07-16,CUST-1041,Small Business,Central,Services,Installation Service,Partner,3,263.86,0.05,751.99,536.94,215.06,Purchase Order,3.9,False,E. Garcia,6,Referral,
ORD-100137,2025-01-12,CUST-1091,Consumer,North,Technology,4K Monitor,Corporate Sales,9,452.04,0.1,3661.55,2920.18,741.37,Purchase Order,4.1,False,H. Navarro,4,Social,Follow-up required
ORD-100138,2025-10-02,CUST-1104,Small Business,North,Technology,Laptop Pro 14,Partner,7,1172.05,0.0,8204.35,5681.33,2523.01,Credit Card,3.3,False,D. Lim,6,Social,
ORD-100139,2025-10-11,CUST-1160,Corporate,Central,Furniture,Executive Chair,Online,7,445.61,0.15,2651.36,1613.39,1037.96,Bank Transfer,4.3,False,B. Santos,9,Referral,
ORD-100140,2025-07-11,CUST-1129,Consumer,North,Furniture,Storage Shelf,Online,6,313.71,0.0,1882.28,1355.26,527.02,Bank Transfer,3.5,False,F. Tan,9,Referral,Priority client
